Real-time data - subject to revision
Copyright Environment Canada(2023)

"Real-Time Hydrometric Data for STUART RIVER NEAR FORT ST. JAMES (08JE001) [BC]"

08JE001,"STUART RIVER NEAR FORT ST. JAMES"
Description of parameters:
5,"Water temperature (No Quality Assurance)",°C

Date (PST),Parameter ,Value(°C)
2022-09-10 01:00:00,5,15.71
2022-09-10 02:00:00,5,15.56
2022-09-10 03:00:00,5,15.41
2022-09-10 04:00:00,5,15.24
2022-09-10 05:00:00,5,15.11
2022-09-10 06:00:00,5,15
2022-09-10 07:00:00,5,14.86
2022-09-10 08:00:00,5,14.78
2022-09-10 09:00:00,5,14.8
2022-09-10 10:00:00,5,15.04
2022-09-10 11:00:00,5,15.35
2022-09-10 12:00:00,5,15.73
2022-09-10 13:00:00,5,16.08
2022-09-10 14:00:00,5,16.42
2022-09-10 15:00:00,5,16.72
2022-09-10 16:00:00,5,16.9
2022-09-10 17:00:00,5,17.01
2022-09-10 18:00:00,5,17.01
2022-09-10 19:00:00,5,16.92
2022-09-10 20:00:00,5,16.73
2022-09-10 21:00:00,5,16.57
2022-09-10 22:00:00,5,16.52
2022-09-10 23:00:00,5,16.47
2022-09-11 00:00:00,5,16.36
2022-09-11 01:00:00,5,16.27
2022-09-11 02:00:00,5,16.13
2022-09-11 03:00:00,5,15.98
2022-09-11 04:00:00,5,15.84
2022-09-11 05:00:00,5,15.71
2022-09-11 06:00:00,5,15.59
2022-09-11 07:00:00,5,15.51
2022-09-11 08:00:00,5,15.43
2022-09-11 09:00:00,5,15.42
2022-09-11 10:00:00,5,15.57
2022-09-11 11:00:00,5,15.88
2022-09-11 12:00:00,5,16.25
2022-09-11 13:00:00,5,16.57
2022-09-11 14:00:00,5,16.9
2022-09-11 15:00:00,5,17.16
2022-09-11 16:00:00,5,17.34
2022-09-11 17:00:00,5,17.43
2022-09-11 18:00:00,5,17.48
2022-09-11 19:00:00,5,17.31
2022-09-11 20:00:00,5,17.19
2022-09-11 21:00:00,5,17.07
2022-09-11 22:00:00,5,16.91
2022-09-11 23:00:00,5,16.73
2022-09-12 00:00:00,5,16.56
2022-09-12 01:00:00,5,16.35
2022-09-12 02:00:00,5,16.18
2022-09-12 03:00:00,5,15.98
2022-09-12 04:00:00,5,15.81
2022-09-12 05:00:00,5,15.71
2022-09-12 06:00:00,5,15.53
2022-09-12 07:00:00,5,15.35
2022-09-12 08:00:00,5,15.17
2022-09-12 09:00:00,5,15.17
2022-09-12 10:00:00,5,15.34
2022-09-12 11:00:00,5,15.58
2022-09-12 12:00:00,5,15.94
2022-09-12 13:00:00,5,16.34
2022-09-12 14:00:00,5,16.71
2022-09-12 15:00:00,5,16.94
2022-09-12 16:00:00,5,17.04
2022-09-12 17:00:00,5,17.06
2022-09-12 18:00:00,5,16.93
2022-09-12 19:00:00,5,16.8
2022-09-12 20:00:00,5,16.66
2022-09-12 21:00:00,5,16.54
2022-09-12 22:00:00,5,16.44
2022-09-12 23:00:00,5,16.34
2022-09-13 00:00:00,5,16.22
2022-09-13 01:00:00,5,16.12
2022-09-13 02:00:00,5,16.03
2022-09-13 03:00:00,5,15.91
2022-09-13 04:00:00,5,15.79
2022-09-13 05:00:00,5,15.64
2022-09-13 06:00:00,5,15.53
2022-09-13 07:00:00,5,15.38
2022-09-13 08:00:00,5,15.29
2022-09-13 09:00:00,5,15.22
2022-09-13 10:00:00,5,15.48
2022-09-13 11:00:00,5,15.77
2022-09-13 12:00:00,5,16.08
2022-09-13 13:00:00,5,16.43
2022-09-13 14:00:00,5,16.69
